,Name,Team,Points,PointAverage,FangraphsId,POS
0,Ronald Acuña Jr.,ATL,723.74924,4.913169956825156,18401,OF
1,Juan Soto,NYY,644.2606499999999,4.214131579463766,20123,OF
2,Bobby Witt Jr.,KCR,621.31778,4.0929485777525985,25764,SS
3,Shohei Ohtani,LAD,621.2688099999999,4.4556479051020546,19755,SP
4,Shohei Ohtani,LAD,621.2688099999999,4.4556479051020546,19755,DH
5,Freddie Freeman,LAD,620.1069,4.034291420801645,5361,1B
6,Mookie Betts,LAD,617.9973399999999,4.144073145217531,13611,2B/OF
7,Julio Rodríguez,SEA,615.9923299999999,4.0850464878773405,23697,OF
8,Kyle Tucker,HOU,613.49365,4.058813041263372,18345,OF
9,Matt Olson,ATL,611.0837500000001,4.002067888298012,14344,1B
10,Corbin Carroll,ARI,610.25856,4.134206975042679,25878,OF
11,Aaron Judge,NYY,609.05845,4.411772652531998,15640,OF
12,Fernando Tatis Jr.,SDP,608.78092,4.1265449270646934,19709,OF
13,Austin Riley,ATL,592.82585,3.858061356640353,18360,3B
14,José Ramírez,CLE,591.60085,3.9109968532254444,13510,3B
15,Yordan Alvarez,HOU,591.185464,4.26073472094096,19556,OF
16,Bryce Harper,PHI,583.60952,3.9808838836858724,11579,1B
17,Rafael Devers,BOS,577.30398,3.8408578499860284,17350,3B
18,Pete Alonso,NYM,576.7258899999999,3.7903093494919755,19251,1B
19,Trea Turner,PHI,570.9063799999999,3.7412441840653208,16252,SS
20,Kyle Schwarber,PHI,569.36774,3.8368649675862905,16478,OF
21,Vladimir Guerrero Jr.,TOR,565.4912479999999,3.6917262792306986,19611,1B
22,Marcus Semien,TEX,561.9248899999999,3.672063688107327,12533,2B
23,Francisco Lindor,NYM,554.44184,3.6322068052880523,12916,SS
24,Randy Arozarena,TBR,550.05557,3.723081926601779,19290,OF
25,Ozzie Albies,ATL,544.44294,3.685840960788562,16556,2B
26,Adolis García,TEX,535.5242,3.6452287439334015,19287,OF
27,Alex Bregman,HOU,522.76427,3.5072610229986854,17678,3B
28,Luis Robert Jr.,CHW,522.7469,3.660256832169839,20043,OF
29,Michael Harris II,ATL,521.9854399999999,3.561508975662343,25931,OF
30,Bryan Reynolds,PIT,520.70217,3.526788921851506,19326,OF
31,Paul Goldschmidt,STL,520.53028,3.5254097838822624,9218,1B
32,Jose Altuve,HOU,518.26533,3.718762458292971,5417,2B
33,Christian Yelich,MIL,516.79255,3.5608940260456143,11477,OF
34,Gunnar Henderson,BAL,514.61593,3.5933102677792133,26289,SS/3B
35,Nolan Jones,COL,512.39035,3.6941281433844733,20529,OF
36,Christian Walker,ARI,509.4873,3.4282821825816048,13419,1B
37,Bo Bichette,TOR,508.42177,3.4794810429783736,19612,SS
38,Dansby Swanson,CHC,504.03607,3.3394910953276975,18314,SS
39,Elly De La Cruz,CIN,502.18362,3.742332662642522,26668,SS/3B
40,Manny Machado,SDP,501.76379999999995,3.5512541403618036,11493,3B
41,Corey Seager,TEX,501.76286999999996,3.9272940522686532,13624,SS
42,Mike Trout,LAA,496.68365000000006,3.976204828922299,10155,OF
43,CJ Abrams,WSN,496.46813,3.3803926681963956,25768,SS
44,Nico Hoerner,CHC,496.41321,3.3961825433747466,21479,2B/SS
