Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,PlayerId
"Ronald Acuna Jr.","ATL","OF",1,695.049,13.990456680272523,5.86261736345143,16.016823399558213,18.154464131445273,7.9979132360374425,62.02227481076488,14.497187020258568,77.51946183102345,"18401"
"Aaron Judge","NYY","OF/DH",11.15999984741211,669.665,1.216313448797587,10.621789577819287,8.340782713217916,-1.4151731784051205,12.836208732327172,31.599921293756847,14.497187020258568,47.09710831401541,"15640"
"Juan Soto","NYY","OF",10.569999694824219,673.76,4.439851645559089,7.131487842060564,10.240626100241807,-0.10032443161191508,8.132859805854574,29.844500962104117,14.497187020258568,45.341687982362686,"20123"
"Fernando Tatis Jr.","SDP","OF",7.869999885559082,679.707,3.3216759042752404,5.5446930145819895,6.9749849967143245,6.310319532410005,7.043231896944616,29.194905344926173,14.497187020258568,44.69209236518474,"19709"
"Shohei Ohtani","LAD","P/DH",12.729999542236328,675.776,1.8876758285334763,8.104705873512316,9.365700670921756,3.254534383298487,8.927286647622637,31.539903403888673,11.884980284173745,44.42488368806242,"19755"
"Yordan Alvarez","HOU","OF/DH",16.6299991607666,628.948,8.006931707666807,8.721573477571162,7.352948148544128,-4.206099329075094,8.686902546752506,28.56225655145951,14.497187020258568,44.05944357171808,"19556"
"Julio Rodriguez","SEA","OF",3.0999999046325684,676.78,4.788460997878755,4.421112735760514,5.996055404168075,8.10738292853089,5.04811850951333,28.361130575851565,14.497187020258568,43.85831759611013,"23697"
"Kyle Tucker","HOU","OF",6.480000019073486,643.633,5.156773747835522,8.176596189165155,4.325746254539786,5.344581872235402,4.499508483676356,27.503206547452216,14.497187020258568,43.00039356771078,"18345"
"Bobby Witt Jr.","KCR","SS",2.319999933242798,676.842,3.6788337084752674,3.930587555959147,5.613375191353155,12.535614360446345,3.279007952524236,29.037418768758144,11.884980284173745,41.922399052931894,"25764"
"Matt Olson","ATL","1B",17.1299991607666,652.667,0.8896004050083917,10.112688248005378,5.994868392358783,-4.266560124213608,9.519294812106502,22.249891733265446,14.59844914517603,37.848340878441476,"14344"
"Rafael Devers","BOS","3B",24.059999465942383,672.137,5.401146708461974,6.993789054571078,6.25789400110451,-2.8032778897666772,6.406652862084192,22.256204736455075,14.164947568613401,37.421152305068475,"17350"
"Corbin Carroll","ARI","OF",5.949999809265137,679.239,2.0530627898766443,0.38368084652810497,6.312599037319491,12.243816993632867,0.3674871392579168,21.360646806615023,14.497187020258568,36.857833826873595,"25878"
"Mookie Betts","LAD","2B/OF",5.03000020980835,694.763,3.7435730590619842,2.3432903932981133,9.917303628565039,1.1629750272663402,4.831316206918194,21.998458315109666,13.800275170131984,36.79873348524165,"13611"
"Freddie Freeman","LAD","1B",8.8100004196167,669.73,9.306084378795212,4.809815086664495,5.65408397587303,0.6230794124389177,0.5942282255178848,20.987291079289538,14.59844914517603,36.58574022446557,"5361"
"Vladimir Guerrero Jr.","TOR","1B/DH",29.899999618530273,662.921,5.1637163269632085,7.776437520579599,3.6422705752882942,-2.0732924726622834,5.879338043137652,20.388469993306472,14.59844914517603,35.9869191384825,"19611"
"Jose Ramirez","CLE","3B/DH",16.079999923706055,664.311,4.466327573396026,4.9953151674602605,2.953138713258791,4.730489371943717,1.5053289225319961,18.650599748590793,14.164947568613401,33.81554731720419,"13510"
"Austin Riley","ATL","3B",19.239999771118164,661.324,2.6304354544984574,8.90979539491678,3.7235618157619963,-3.7458777066796793,6.338808683104495,17.85672364160205,14.164947568613401,33.021671210215445,"18360"
"Bryce Harper","PHI","1B/DH",17.68000030517578,642.297,4.445067785662604,4.8643363945034555,3.1200330503568154,0.34599799385745006,2.6300210391825893,15.405456263562916,14.59844914517603,31.003905408738945,"11579"
"Pete Alonso","NYM","1B",26.700000762939453,647.676,-3.726213353994726,9.176286772145538,2.6378154617265666,-3.170989171609702,9.800051026979686,14.71695073524736,14.59844914517603,30.315399880423392,"19251"
