,Name,Team,Points,PointAverage,FangraphsId,POS,MLBId
0,Spencer Strider,ATL,592.90931,20.008278214975096,27498,SP,675911
1,Luis Castillo,SEA,522.102715,17.22315481295771,15689,SP,622491
2,Framber Valdez,HOU,515.52655,17.505324332675716,17295,SP,664285
3,Kevin Gausman,TOR,513.1441699999999,17.613785350683585,14107,SP,592332
4,Pablo López,MIN,510.673305,17.201800944514808,17085,SP,641154
5,Zack Wheeler,PHI,509.424775,17.240175540717527,10310,SP,554430
6,Corbin Burnes,BAL,506.1971,16.901405676126878,19361,SP,669203
7,Zac Gallen,ARI,500.9687150000001,16.789227245154784,19291,SP,668678
8,Aaron Nola,PHI,500.097185,16.798526887535566,16149,SP,605400
9,Logan Webb,SFG,492.0674,16.322917288643858,17995,SP,657277
10,Gerrit Cole,NYY,487.35452,18.135741238287327,13125,SP,543037
11,Logan Gilbert,SEA,484.51236499999993,15.847565195775397,22250,SP,669302
12,George Kirby,SEA,481.84691,16.187719964254757,25436,SP,669923
13,Yoshinobu Yamamoto,LAD,466.54872,17.700594131528426,sa3023345,SP,808967
14,Freddy Peralta,MIL,465.19739500000003,16.40421867947416,18679,SP,642547
15,Jesús Luzardo,MIA,458.68859,15.89214381240775,19959,SP,666200
16,Blake Snell,,458.61949,16.777984312922083,13543,SP,605483
17,Dylan Cease,CHW,451.571515,14.9253689436231,18525,SP,656302
18,Max Fried,ATL,448.68312,16.424028961846645,13743,SP,608331
19,Zach Eflin,TBR,448.17065405000005,15.853448724071088,13774,SP,621107
20,Merrill Kelly,ARI,447.53560999999996,15.121540821532712,11156,SP,518876
21,Chris Bassitt,TOR,447.34635,15.352625943352516,12304,SP,605135
22,Joe Ryan,MIN,445.663165,15.907281296959269,21390,SP,657746
23,Tarik Skubal,DET,444.63048999999995,15.999888087629904,22267,SP,669373
24,Justin Steele,CHC,442.12228000000005,15.20893707924692,17312,SP,657006
25,Tyler Glasnow,LAD,439.2800649999999,18.141199074934438,14374,SP,607192
26,Grayson Rodriguez,BAL,435.46809,15.335489380583954,24492,SP,680570
27,Nick Pivetta,BOS,433.92173500000007,14.712702505679317,15454,SP,601713
28,Mitch Keller,PIT,433.50025,14.438986573582165,17594,SP,656605
29,Tanner Bibee,CLE,432.27502499999997,15.46158612919379,30134,SP,676440
30,José Berríos,TOR,426.92852,14.556134716227183,14168,SP,621244
31,Shane Bieber,CLE,419.45559,15.85298026009955,19427,SP,669456
32,Eduardo Rodriguez,ARI,418.66698,14.96259877273426,13164,SP,593958
33,Bobby Miller,LAD,416.80870999999996,15.760329644152199,27483,SP,676272
34,Cole Ragans,KCR,414.73945,15.019989135355363,21846,SP,666142
35,Hunter Brown,HOU,413.79958500000004,13.610127188048864,25880,SP,686613
36,Hunter Greene,CIN,411.86245499999995,15.33612808454071,22182,SP,668881
37,Jordan Montgomery,,406.05517000000003,14.650991874494864,16511,SP,656756
38,Sonny Gray,STL,404.027525,14.711757498297704,12768,SP,543243
39,Joe Musgrove,SDP,402.70584999999994,15.84283483091255,12970,SP,605397
40,Cristian Javier,HOU,400.543185,14.138531551470356,17606,SP,664299
41,Eury Pérez,MIA,386.352565,14.574887109977707,27768,SP,691587
42,Bailey Ober,MIN,385.81449,13.91265037214401,21224,SP,641927
43,Brayan Bello,BOS,385.41778500000004,13.636735578419996,23920,SP,678394
44,Lance Lynn,STL,384.191375,14.035413546195155,2520,SP,458681
45,Carlos Rodón,NYY,381.41009,15.313738235955418,16137,SP,607074
46,Charlie Morton,ATL,379.22465000000005,15.051225213926244,4676,SP,450203
47,Michael King,SDP,378.86900999999995,11.971530452642387,19853,SP,650633
48,Yusei Kikuchi,TOR,377.34732755000005,13.460681673224345,20633,SP,579328
49,Shota Imanaga,CHC,376.673155,14.756739534974828,sa3023346,SP,684007
50,Kyle Gibson,STL,375.847315,12.711802257937956,10123,SP,502043
51,Miles Mikolas,STL,372.73354500000005,12.587841685072238,9803,SP,571945
52,Reid Detmers,LAA,370.85972999999996,13.587940263727727,27468,SP,672282
53,Nathan Eovaldi,TEX,367.302355,14.730334147446772,9132,SP,543135
54,Jon Gray,TEX,366.87469,13.543308723097937,14916,SP,592351
55,Chris Sale,ATL,366.46013000000005,15.225146036045768,10603,SP,519242
56,Edwin Díaz,NYM,366.27853999999996,6.0615046254157905,14710,RP,621242
57,JP Sears,OAK,363.34789,12.893546979127485,23429,SP,676664
58,Yu Darvish,SDP,362.319335,15.643037212294436,13074,SP,506433
59,Marcus Stroman,NYY,360.092385,13.59814149767758,13431,SP,573186
60,Dean Kremer,BAL,359.315165,13.067193926720611,19350,SP,665152
61,Jhoan Duran,MIN,356.25052500000004,5.837072194440986,21029,RP,661395
62,Gavin Williams,CLE,355.66238,13.420867373314668,30122,SP,668909
63,Griffin Canning,LAA,354.495145,14.187864507039997,19867,SP,656288
64,Aaron Civale,TBR,352.00111499999997,13.749130526488473,19479,SP,650644
65,Josh Hader,HOU,350.270215,5.8777764073546415,14212,RP,623352
66,Bryce Miller,SEA,350.17946,13.540989223029538,29837,SP,682243
67,Brandon Pfaadt,ARI,347.45656,13.295904732020542,27782,SP,694297
68,Triston McKenzie,CLE,347.17431500000004,13.922670326717705,18000,SP,663474
69,Cristopher Sánchez,PHI,346.76744610000003,10.86745493719601,20778,SP,650911
70,Ranger Suárez,PHI,345.37007500000004,13.14538729727364,17277,SP,624133
71,Brady Singer,KCR,345.00892000000005,12.67306254086498,25377,SP,663903
72,Emmanuel Clase,CLE,344.96000000000004,5.298045792710273,21032,RP,661403
73,Camilo Doval,SFG,343.74255000000005,5.483325543519008,21992,RP,666808
74,Dane Dunning,TEX,343.016975,12.029056800288965,19409,SP,641540
75,MacKenzie Gore,WSN,342.48535000000004,13.07016402326398,22201,SP,669022
76,Patrick Sandoval,LAA,341.97026500000004,12.934262701831758,19447,SP,663776
77,Taijuan Walker,PHI,340.51727,12.67267344493156,11836,SP,592836
78,Ryan Pepiot,TBR,340.02734,12.44887548098221,26221,SP,686752
79,Sean Manaea,NYM,339.44901000000004,13.361661818482409,15873,SP,640455
80,Bryan Woo,SEA,339.053395,10.934878219475854,30279,SP,693433
81,Nestor Cortes,NYY,338.986485,12.93752662030853,17874,SP,641482
82,Josiah Gray,WSN,337.97552499999995,11.960475374853578,24580,SP,680686
83,Alexis Díaz,CIN,336.30281,5.301174666176959,21132,RP,664747
84,Justin Verlander,HOU,335.550625,15.531299757461305,8700,SP,434378
85,Jose Quintana,NYM,334.394395,12.47307445550611,11423,SP,500779
86,Kutter Crawford,BOS,333.63323,10.826553241476887,20531,SP,676710
87,Kenta Maeda,DET,332.820025,11.726777761334969,18498,SP,628317
88,Clarke Schmidt,NYY,331.7628623,12.23481309396931,19899,SP,657376
89,Raisel Iglesias,ATL,330.35134000000005,5.557279021882486,17130,RP,628452
90,Taj Bradley,TBR,329.93999,9.01869642466652,22543,SP,671737
91,Andrew Abbott,CIN,329.27020000000005,13.677533251917025,29911,SP,671096
92,Devin Williams,MIL,329.13252,5.770205469845722,15816,RP,642207
93,Logan Allen,CLE,328.96709,13.12791177479987,27589,SP,671106
94,Kyle Harrison,SFG,328.64396500000004,12.851560673072036,27758,SP,690986
95,Edward Cabrera,MIA,327.18357000000003,13.234724694194552,21690,SP,665795
96,Braxton Garrett,MIA,326.997555,13.497571038206253,21844,SP,666129
97,Jameson Taillon,CHC,326.77523,12.763410995020019,11674,SP,592791
98,Tanner Scott,MIA,326.19336500000003,4.982630170424082,17586,RP,656945
99,Seth Lugo,KCR,325.5390686,12.476489855205772,12447,SP,607625
100,Jordan Romano,TOR,321.59183500000006,5.678373341337878,16122,RP,605447
101,Paul Sewald,ARI,320.87127,5.241367385942272,13892,RP,623149
102,Andrés Muñoz,SEA,320.49459,5.582274889441224,20373,RP,662253
103,Tyler Anderson,LAA,317.042575,12.107793584113042,12880,SP,542881
104,David Bednar,PIT,314.423425,5.3614794295838175,19569,RP,670280
105,Ryan Helsley,STL,313.958385,5.478945756482679,18138,RP,664854
106,Jack Flaherty,DET,313.04448500000007,12.547979581365894,17479,SP,656427
107,Walker Buehler,LAD,313.020665,14.940536057772624,19374,SP,621111
108,Pete Fairbanks,TBR,312.53749000000005,5.810607874706717,17998,RP,664126
109,Evan Phillips,LAD,311.94652999999994,5.205546358997292,17734,RP,623465
110,Clay Holmes,NYY,310.451565,5.06403314890091,13649,RP,605280
111,Frankie Montas,CIN,310.34128999999996,13.547820981267815,14309,SP,593423
112,Tanner Houck,BOS,310.23965,10.536313712438188,19879,SP,656557
113,Kenley Jansen,BOS,307.61078,5.204744001895029,3096,RP,445276
114,Reese Olson,DET,307.35962,12.604040876247653,24968,SP,681857
115,Michael Wacha,KCR,305.486285,12.835719988067076,14078,SP,608379
116,Craig Kimbrel,BAL,304.64396,4.783959246423148,6655,RP,518886
117,Andrew Heaney,TEX,303.36483000000004,11.352921826408148,15423,SP,571760
118,Steven Matz,STL,302.828235,10.58192487114528,13361,SP,571927
