,Name,Pos,FV,Age,ETA,Proj Team,PlayerId,Org
0,Jackson Holliday,SS,70,20.2722222,2024.0,,sa3020241,BAL
0,Yoshinobu Yamamoto,SP,65,25.4083333,2024.0,LAD,sa3023345,
1,Wyatt Langford,LF,65,22.325,2024.0,,sa3022654,TEX
2,Jackson Chourio,CF,65,20.0027777,2024.0,,sa3015704,MIL
1,Rōki Sasaki,SP,65,22.1972222,2026.0,,,
3,Junior Caminero,RF,60,20.6861111,2024.0,,28163,TBR
7,Jordan Lawlar,SS,60,21.6527777,2024.0,,29976,ARI
9,Paul Skenes,SP,60,21.7861111,2024.0,,sa3023079,PIT
5,James Wood,CF,60,21.4861111,2025.0,,sa3016870,WSN
8,Dylan Crews,CF,60,22.0444444,2025.0,,sa3022882,WSN
10,Andrew Painter,SP,60,20.9222222,2025.0,,sa3017880,PHI
4,Ethan Salas,C,60,17.7805555,2026.0,,sa3020881,SDP
6,Samuel Basallo,C,60,19.5805555,2027.0,,sa3015716,BAL
11,Evan Carter,LF,55,21.5361111,2024.0,,27790,TEX
19,Pete Crow-Armstrong,CF,55,21.9638888,2024.0,,27769,CHC
21,Mick Abel,SP,55,22.5666666,2024.0,,sa3014534,PHI
23,Heston Kjerstad,RF,55,25.0833333,2024.0,,31166,BAL
24,Masyn Winn,SS,55,21.975,2024.0,,27479,STL
26,Kyle Harrison,SP,55,22.5833333,2024.0,,27758,SFG
27,Ricky Tiedemann,SP,55,21.5666666,2024.0,,sa3018096,TOR
28,Chase DeLauter,RF,55,22.4277777,2024.0,,sa3021053,CLE
29,Jackson Merrill,SS,55,20.8972222,2024.0,,sa3016829,SDP
30,Curtis Mead,3B,55,23.3777777,2024.0,,23986,TBR
12,Colson Montgomery,3B,55,22.0416666,2025.0,,sa3017170,CHW
15,Jackson Jobe,SP,55,21.6166666,2025.0,,sa3018054,DET
16,Adael Amador,2B,55,20.9194444,2025.0,,sa3014682,COL
17,Cade Horton,SP,55,22.5611111,2025.0,,sa3020860,CHC
18,River Ryan,SP,55,25.5694444,2025.0,,sa3016863,LAD
22,Coby Mayo,RF,55,22.2555555,2025.0,,sa3014479,BAL
31,Matt Shaw,2B,55,22.35,2025.0,,sa3022615,CHC
2,Munetaka Murakami,DH,55,23.95,2026.0,,,
13,Roman Anthony,CF,55,19.8305555,2026.0,,sa3020211,BOS
14,Spencer Jones,CF,55,22.8277777,2026.0,,sa3019969,NYY
20,Carson Williams,SS,55,20.7138888,2026.0,,sa3017795,TBR
25,Walker Jenkins,LF,55,19.0638888,2026.0,,sa3022894,MIN
3,Leodalis De Vries,SS,50,17.2583333,2024.0,SDP,,
5,Jung Hoo Lee,CF,50,25.4,2024.0,SFG,sa3012640,
32,Kevin Alcántara,CF,50,21.6666666,2024.0,,sa3008752,CHC
39,Jeferson Quero,C,50,21.4277777,2024.0,,sa3015407,MIL
40,Noelvi Marte,3B,50,22.4055555,2024.0,,26517,CIN
41,Brooks Lee,SS,50,23.0777777,2024.0,,sa3019973,MIN
42,Jordan Wicks,SP,50,24.5305555,2024.0,,30094,CHC
43,Rhett Lowder,SP,50,22.0111111,2024.0,,sa3023360,CIN
44,Joey Ortiz,2B,50,25.6611111,2024.0,,25493,MIL
45,Colt Keith,2B,50,22.5777777,2024.0,,sa3014474,DET
46,Austin Wells,C,50,24.6666666,2024.0,,27562,NYY
47,Jace Jung,3B,50,23.4388888,2024.0,,sa3019992,DET
49,Ceddanne Rafaela,CF,50,23.4833333,2024.0,,24262,BOS
50,Bryan Ramos,3B,50,22.0,2024.0,,sa3010024,CHW
51,Drew Gilbert,CF,50,23.4583333,2024.0,,sa3019980,NYM
55,Max Meyer,SP,50,25.0,2024.0,,27474,MIA
56,Cade Cavalli,SP,50,25.5777777,2024.0,,27473,WSN
58,Brayan Rocchio,SS,50,23.1638888,2024.0,,23690,CLE
60,Jairo Iriarte,SP,50,22.2416666,2024.0,,sa3010798,SDP
62,AJ Smith-Shawver,SP,50,21.3111111,2024.0,,29960,ATL
65,Orelvis Martinez,3B,50,22.3138888,2024.0,,sa3010692,TOR
67,Diego Cartaya,C,50,22.5138888,2024.0,,sa3008742,LAD
72,Drew Thorpe,SP,50,22.4472222,2024.0,,sa3020678,SDP
81,Chase Hampton,SP,50,22.5972222,2024.0,,sa3020682,NYY
82,Victor Scott II,CF,50,23.0833333,2024.0,,sa3019838,STL
83,Michael Busch,DH,50,26.3416666,2024.0,,26319,CHC
84,Hurston Waldrep,SP,50,22.0305555,2024.0,,sa3022942,ATL
85,Kyle Hurt,SP,50,25.7833333,2024.0,,27514,LAD
86,Royber Salinas,SP,50,22.9222222,2024.0,,sa3009243,OAK
96,David Festa,SP,50,24.0111111,2024.0,,sa3017788,MIN
98,Will Warren,SP,50,24.7388888,2024.0,,sa3018149,NYY
99,Mason Miller,SIRP,50,25.55,2024.0,,31757,OAK
100,Daniel Espino,SIRP,50,23.1861111,2024.0,,sa3011495,CLE
38,Emmanuel Rodriguez,CF,50,21.0333333,2025.0,,sa3014693,MIN
52,Jasson Domínguez,CF,50,21.0972222,2025.0,,28080,NYY
57,Edgar Quero,C,50,20.9333333,2025.0,,sa3015239,CHW
61,Jared Jones,SP,50,22.6,2025.0,,sa3014459,PIT
64,Owen Caissie,RF,50,21.6777777,2025.0,,sa3014465,CHC
66,Tommy Troy,3B,50,22.1527777,2025.0,,sa3022561,ARI
73,Carson Whisenhunt,SP,50,23.3944444,2025.0,,sa3020529,SFG
78,Tink Hence,SP,50,21.6,2025.0,,sa3014709,STL
87,Tekoah Roby,MIRP,50,22.4833333,2025.0,,sa3014519,STL
97,Christian Scott,SP,50,24.7416666,2025.0,,sa3017948,NYM
33,Jacob Misiorowski,SP,50,21.9416666,2026.0,,sa3020644,MIL
48,Cole Young,2B,50,20.6361111,2026.0,,sa3020459,SEA
53,Jett Williams,CF,50,20.3583333,2026.0,,sa3020134,NYM
54,Harry Ford,C,50,21.0583333,2026.0,,sa3017627,SEA
59,Dalton Rushing,C,50,23.0583333,2026.0,,sa3019892,LAD
63,Bubba Chandler,SP,50,21.4944444,2026.0,,sa3017428,PIT
68,Marcelo Mayer,SS,50,21.25,2026.0,,sa3017114,BOS
70,Miguel Bleis,CF,50,20.0305555,2026.0,,sa3016834,BOS
74,Chase Dollander,SP,50,22.3777777,2026.0,,sa3023361,COL
75,Dylan Lesko,SP,50,20.5138888,2026.0,,sa3020677,SDP
76,Luis Morales,SP,50,21.4666666,2026.0,,sa3021487,OAK
79,Kyle Teel,C,50,22.075,2026.0,,sa3022886,BOS
88,Brady House,3B,50,20.7722222,2026.0,,sa3017694,WSN
34,Noah Schultz,SP,50,20.6027777,2027.0,,sa3020949,CHW
35,Max Clark,CF,50,19.225,2027.0,,sa3022683,DET
36,Termarr Johnson,2B,50,19.7527777,2027.0,,sa3020214,PIT
69,Roderick Arias,SS,50,19.5083333,2027.0,,sa3019674,NYY
71,Thayron Liranzo,C,50,20.6861111,2027.0,,sa3015790,LAD
77,Noble Meyer,SP,50,19.1722222,2027.0,,sa3022945,MIA
80,Colt Emerson,SS,50,18.6444444,2027.0,,sa3022923,SEA
92,Xavier Isaac,1B,50,20.2361111,2027.0,,sa3020498,TBR
4,Shunpeita Yamashita,SP,50,21.4944444,2028.0,,,
89,Jonny Farmelo,CF,50,19.5083333,2028.0,,sa3023362,SEA
93,Bryce Eldridge,1B,50,19.3944444,2028.0,,sa3022757,SFG
94,Starlyn Caba,SS,50,18.2666666,2028.0,,sa3021070,PHI
95,Jeremy Rodriguez,SS,50,17.7722222,2028.0,,sa3021101,NYM
90,Sebastian Walcott,3B,50,17.9944444,2029.0,,sa3021069,TEX
91,Joendry Vargas,SS,50,18.3444444,2029.0,,sa3021067,LAD
37,Leodalis De Vries,SS,50,17.4194444,2030.0,,,SDP
0,J.J. Wetherholt,2B,50,21.8361111,,,,
1,Travis Bazzana,2B,50,21.8694444,,,,
2,Jac Caglianone,SP/1B,50,21.4222222,,,,
6,Emil Morales,SS,45+,17.3111111,2024.0,LAD,,
7,Adriel Radney,CF,45+,16.5583333,2024.0,ARI,,
124,Jake Eder,SP,45+,25.425,2024.0,,sa3014917,CHW
131,Andy Pages,RF,45+,23.2611111,2024.0,,sa3005625,LAD
155,Nick Frasso,SP,45+,25.4,2024.0,,sa3014492,LAD
118,Brock Wilken,3B,45+,21.7361111,2025.0,,sa3022499,MIL
119,Ronny Mauricio,SS,45+,22.9388888,2025.0,,23698,NYM
120,Nick Nastrini,SIRP,45+,24.0666666,2025.0,,sa3017413,CHW
138,Josue De Paula,LF,45+,18.8,2026.0,,sa3018591,LAD
130,George Lombard Jr.,SS,45+,18.7777777,2027.0,,sa3023233,NYY
115,Arjun Nimmala,3B,45+,18.4055555,2028.0,,sa3022892,TOR
146,Emil Morales,SS,45+,17.4722222,2030.0,,,LAD
3,Seaver King,CF,45+,21.2111111,,,,
4,Nick Kurtz,1B,45+,21.3305555,,,,
5,PJ Morlando,LF,45+,19.1527777,,,,
6,Chase Burns,SIRP,45+,21.5138888,,,,
