#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS,Last,First
1,A.J. Alexy,669935,669935,22343,11175,MIN,RP,RP,Alexy,A.J.
2,A.J. Blubaugh,805123,805123,sa3020112,,HOU,SP,SP,Blubaugh,A.J.
3,A.J. Cole,595918,11467,11467,8722,FA,RP,RP,Cole,A.J.
4,A.J. Labas,669332,669332,sa3017638,,MIN,RP,RP,Labas,A.J.
5,A.J. Minter,621345,621345,18655,9734,ATL,RP,RP,Minter,A.J.
6,A.J. Puk,640462,640462,19343,9792,MIA,SP,SP,Puk,A.J.
7,A.J. Ramos,573109,8350,8350,,FA,RP,RP,Ramos,A.J.
8,A.J. Vukovich,691021,691021,sa3014525,11616,ARI,3B,3B,Vukovich,A.J.
9,Aaron Antonini,689577,689577,sa3010906,,STL,C,C,Antonini,Aaron
10,Aaron Ashby,676879,676879,23550,10372,MIL,SP,SP,Ashby,Aaron
11,Aaron Barrett,502578,11243,11243,8734,FA,RP,RP,Barrett,Aaron
12,Aaron Blair,594760,14934,14934,8930,FA,SP,SP,Blair,Aaron
13,Aaron Bracho,677570,677570,sa3010018,10117,CLE,2B,2B,Bracho,Aaron
14,Aaron Brooks,605156,12272,12272,8752,OAK,RP,RP,Brooks,Aaron
15,Aaron Brown,676345,676345,sa3017500,,HOU,SP,SP,Brown,Aaron
16,Aaron Bummer,607481,607481,16258,9713,ATL,RP,RP,Bummer,Aaron
17,Aaron Civale,650644,650644,19479,10640,TB,SP,SP,Civale,Aaron
18,Aaron Davenport,702126,702126,sa3017615,,CLE,SP,SP,Davenport,Aaron
19,Aaron Fletcher,667465,667465,22052,10872,FA,RP,RP,Fletcher,Aaron
20,Aaron Fossas,670579,670579,,10548,CIN,RP,RP,Fossas,Aaron
21,Aaron Haase,700412,700412,sa3017849,,DET,RP,RP,Haase,Aaron
22,Aaron Hernandez,669443,669443,sa3008599,,LAA,SP,SP,Hernandez,Aaron
