Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
1,0,"Jackson Holliday","BAL","SS","ST",2024,"70","Med",,"20.2722222","6' 0""","185","L","R",2022,"Draft","BAL",8190000,"Stillwater HS (OK)","Holliday exited his pre-draft summer as a mid-to-late first-round prospect. Among the high school prospects from that draft class, he not only had perhaps the best chance to remain at shortstop, but he also had one of the better bat-to-ball track records overall, accumulating a 3-to-1 ball in play-to-whiff ratio on the showcase circuit. He was also one of the better rotational athletes available, with one of the loosest, most beautiful swings in the class. It seemed plausible he might eventually grow into meaningful power, and by his senior year of high school, Holliday already had. He looked like a do-everything prospect as a senior and ultimately went first overall to Baltimore. 
Jackson was then shot out of a canon in his first full pro season. He slashed .323/.442/.499 across four levels and ended the season with Triple-A Norfolk at age 19. Holliday isn't an ironclad, fully actualized entity as a hitter just yet, but he's unbelievably talented in terms of both his coordination and his in-the-box athleticism. He maintained above-average rates of contact in 2023 despite usually being 3-5 years younger than the typical player at High- and Double-A, tallied 101 walks in just 125 games, had 51 extra-base hits, and stole 24 bases (he was caught nine times). Again, this was Holliday's first full professional season as a teenage shortstop. 
There are all kinds of scouting traits to get excited about here in addition to his performance. Holliday has a big, slow leg kick, takes a huge stride forward, and has loose and explosive hips and hands that helped him post a 45% hard-hit rate last season (neck and neck with Wyatt Langford, even though Jackson is a couple years younger). Even though Holliday's stride can sometimes pull him off toward first base, he finds ways to get his arms extended to cover the outer edge of the plate anyway. 
He's a very special young hitter, though there are a couple of nits worth picking; it is the very top of the prospect list after all. Holliday struggled to pull fastballs in 2023 and slugged less than .400 against them, per Synergy. His contact rates and chase rates are good, but they're also a grade below what Langford did in pro ball across the board. Holliday's measurable power is, in most respects, pretty comfortably below the big league average at the moment even though he just got done slugging .499. He also isn't currently a big league-quality shortstop defender and definitely isn't better than Gunnar Henderson is right now. Holliday played 20 games at second base in 2023 and that might be the path to an earlier debut for him, but he’s talented enough to project as a suitable shortstop within the next couple of years. His ability to make accurate throws from odd platforms is impressive, as are Holliday’s poise and internal clock. He’s most comfortable throwing on the move and often goes out of his way to do so even when it isn't called for. Holliday lets a lot of choppers take an unnecessarily high hop, with the direction of that hop sometimes surprising him. He needs to do a better job of staying low and attacking this type of ball in play closer to the ground. 
We're splitting hairs because we're talking about the top couple of spots on a universal pref list, and you could make an argument for Langford to be no. 1 because impact offensive ability is so clearly on board. But Holliday has all of the scout-y athletic traits that indicate that most of where he currently falls short will improve as his body matures. He's a young middle infielder, and Langford might be a DH. It might take a year longer than Orioles fans want it to, but Holliday is very likely to become a 5-WAR shortstop who does everything well.","kLSYztort4s","sa3020241"
2,0,"Wyatt Langford","TEX","LF","ST",2024,"65","Med",,"22.325","6' 1""","225","R","R",2023,"Draft","TEX",8000000,"Florida","Langford slugged an incredible .719 as a sophomore at Florida, a remarkable feat considering he barely played the season before. Then he slashed .373/.498/.769 as a junior and solidified himself as a top-three talent in a loaded draft. 
After he signed, Langford lit pro ball on fire for the better part of two months, slashing a combined .360/.480/.677 as he climbed all the way to Triple-A. During that 200 PA span, Langford's underlying TrackMan data was so good that you could use it to spearhead an argument that he should be first on the overall prospect list, with plus measurable power and plate discipline, as well as an 81% contact rate. If you buy that Langford is actually that good, then he's perhaps the most complete hitter in the minors. It's rare for hitters to hit the ball both as often as Langford has and as hard as he does, even among big leaguers. Buff and twitchy, the short-levered Langford's arms are nearly as thick as they are long, and Mike Trout is a fair body comp. His compact swing allows it to enter the hitting zone very quickly, enabling him to stay short to the ball and crush letter-high pitches, which is how he does most of his extra-base damage. Langford is apt to swing inside pitches on the outer third of the plate, perhaps because his levers are so short and he can't reach out there, and also because he's a bit of a bucket strider whose style of swinging is pretty common around baseball (Davis Schneider and a bunch of other Blue Jays swing like this, Henry Davis too). Langford's lower half is quite flexible and strong, and so are his hands. He has titanic power and is much better than a lot of the other top prospects at turning on velocity. 
Langford is also incredibly fast for a player his size, and some of his home-to-first times are a 70 on the scouting scale. Even though he has the speed for center and has played there a little bit, his feel for the position (and for playing outfield defense in general) is very poor. He's simply not comfortable out there, but his pure speed gives him a shot to be an impact defender if he can find his footing over time. Langford is a much more dangerous hitter than Jackson Holliday is right now. His power is fully actualized and he's much more likely to play an impact big league role from the jump than Holliday is, especially if the Rangers just DH Langford. Risk that this might happen anyway, especially with Leody Taveras and Evan Carter both around, is why Langford slots in as prospect no. 2 overall.",,"sa3022654"
3,1,"Jackson Chourio","MIL","CF","ST",2024,"65","Med",,"20.0027777","5' 11""","198","R","R",2021,"J2","MIL",1900000,"Venezuela","Chourio, who turns 20 in March, has been among the very best prospects in baseball for the better part of the past 18 months. He turned 19 just before the start of the 2023 season and slashed .280/.336/.467 in 122 games at Double-A Biloxi before the Brewers gave him a six-game shot of espresso at Triple-A Nashville in late September. His power, speed, and, more recently, his improvements on defense give him rare upside as a 30/30 threat and plus center field defender. During the offseason, Milwaukee signed Chourio to an eight-year (plus two options), $82 million contract that could earn Chourio as much as $140 million depending on whether those options are exercised. 
Chourio checks most of the boxes from a visual scouting standpoint. He’s a plus-plus runner (routinely 4.10 from home to first, at times a jailbreak 4.00 seconds flat) who has grown into being a great center field defender even though the former second baseman has only played there full-time for two seasons and change. He also has plus-plus bat speed and is capable of putting balls into the seats to all fields. The length of his swing might make it tough for Chourio to catch up to major league velocity up around his hands, and there’s a rigidity to the way his hands work that we don't love, which is where the little bit of hit tool risk comes from. But Chourio’s talent is so electrifying that even if he’s a flawed contact hitter, he’s still going to do enough other stuff at a high level to be a star player.
Plus, it’s encouraging that Chourio’s strikeout rate has improved since early in 2022, when he first began using this high-octane swing. It’s possible he’s just getting better feel for this relatively new style of swinging over time and that everything will be fine. He’s also developed a more dynamic approach during the last two seasons and is now cutting out his leg kick with two strikes. Because he’s already shown the aptitude to make adjustments like this, we can expect that he'll be able to shorten up his swing if it turns out he needs to. Again, whatever qualms we have with Chourio’s swing he makes up for with his bat speed (which enables him to smash fastballs he’s a bit late on toward the opposite field) and the power he generates on contact. The Baby Acuña comps are a little overzealous, as Chourio’s body and athletic style are both much more tightly wound than Ronald Acuña Jr.’s. Indeed, from a build and swing standpoint, Bo Bichette is a more apt comparison.","c5gspkixrs0","sa3015704"
4,0,"Junior Caminero","TBR","RF","ST",2024,"60","High",,"20.6861111","6' 1""","235","R","R",2019,"J2","CLE",225000,"Dominican Republic","Powerful and explosive, the exciting Caminero was among the DSL's home run leaders in 2021 before coming over from Cleveland in a 40-man roster deadline trade for pitcher Tobias Myers that offseason. He mashed his way across five minor league levels in two years and reached the big leagues in 2023 just a couple months after his 20th birthday. 
Caminero is a career .316/.383/.555 hitter in the minors and slugged 31 homers in 2023. He's on a 39 HR per 162 games pace as a pro hitter when you also incorporate his LIDOM and Aussie League at-bats into the equation. Caminero has plus-plus bat speed and raw power right now at age 20, and swings with bloodthirsty effort. He loads his hands super deep and high and has a huge bat wrap. Caminero is often late into the hitting zone against fastballs, but his bat speed is so ridiculous that he's still able to torch deeper-travelling heaters to the opposite field with home run power. Caminero's cacophonous cut leaves him vulnerable to good velocity up around his hands, which is where he does a lot of his swinging and missing. His breaking ball recognition and overall plate discipline are both pretty crude, but his feel for contact has carried enough water to keep him from having any significant strikeout issues so far, as Cami has tended to K in the 14-18% range as a pro. 
Caminero began to transition from shortstop to third base in 2023, and candidly he did not look good playing third in winter ball for Escogido during the offseason. WIth Wander Franco seemingly out of the picture and Taylor Walls recovering from hip surgery, we could see how readers might hope for the Rays to run Caminero out at shortstop again. More likely, they'll try to ""Wendle"" José Caballero into the shortstop position and live with below-average defense from Caminero at third base like they did for a while with Yandy Díaz. Caminero's size for his age and the inconsistency of his arm accuracy have us projecting him into an outfield corner, where we think he'll perform like Marcell Ozuna.","jgEhA6bbNE8","28163"
5,0,"Ethan Salas","SDP","C","ST",2026,"60","Med",,"17.7805555","6' 2""","185","L","R",2023,"Intl15","SDP",5600000,"Venezuela","Salas was generally viewed as the best prospect in the 2023 international amateur class, and weeks after signing in January for a whopping $5.6 million, he went to Arizona and began to reinforce that notion. Salas, still just 16, was performing well in Double-A or big league ""B games"" against players who often had five to 10 years on him (he doubled off of George Kirby, for instance). After a few weeks in extended spring training (a level above where most 17-year-olds play), the Padres assigned Salas to Low-A Lake Elsinore just before he turned 17. He aced a two-month test there (122 wRC+), and the Padres promoted him to High- and then Double-A for the last several weeks of the season (he struggled). 
Whether there was real value or merit to the way San Diego promoted Salas late last year is debatable, but it's also immaterial. Salas has so far exceeded what were already reasonably high expectations. With huge physical tools (power projection, arm strength) already in hand before he signed, Salas has now also demonstrated skillful feel for contact against pro pitching and shown he is a prodigiously talented defender. He's a do-everything prospect with a chance to be one of the best players in baseball. The game appears very easy and slow to him, and Salas is effortlessly good at every aspect of it. His hitting hands are explosive but also under control, and Salas has great vertical plate coverage and the makings of all-fields power. He posted a 75% contact rate and 83% Z-contact%, which are both close to big league average, but remember that we're talking about a 17-year-old in full season ball. Salas' hands can trigger late at times, leaving him tied up inside. It won't be long before he's strong enough to swing hard without having to wind his hands up in the way that causes this. 
Salas projects to have a contact and power combination that would make him an impact regular at virtually any position, and he's also going to be a dynamite defensive catcher. He throws to the bases effortlessly and accurately, his size and lateral agility should make him a great ball-blocker with time, and by the end of 2023, he was framing Double-A pitches with incredible skill for a catcher his age. The risk with teenage catching is extreme, and while the Padres pushed Salas aggressively in some respects, he only caught 34 games during the season (when you add up his pre-season activity and extended spring training, it's probably more like 55-60), so Salas' offense hasn't yet had to withstand the physical erosion of catching 90-plus games. He could spend all of 2024 at Double-A and all of 2025 at Triple-A and still be on pace to debut before he turns 20. This is one of the best couple of prospects in baseball and the odds-on favorite to be no. 1 overall next year.","lUu9qAz-0-w","sa3020881"
6,0,"James Wood","WSN","CF","ST",2025,"60","High",,"21.4861111","6' 7""","240","L","L",2021,"Draft","SDP",2600000,"IMG Academy","Wood is one of only a couple minor leaguers with such immense physical potential that they have a realistic shot to be an elite, perhaps generational player, or at least a player of singular ability. Like Elly De La Cruz and Oneil Cruz before him, Wood has issues that threaten to undermine his profile, but he's so overtly gifted that he's one of only a few prospects with a realistic shot at being a 70-grade player or better on tools. 
Wood was a divisive amateur prospect, with some scouts seeing him as a center fielder with elite raw power projection and others seeing him as an eventual first baseman with hit tool risk. He was unbelievable out of the gate as a Padres prospect; he only struck out 17% of the time at Lake Elsinore and hit .337/.453/.601 before the Padres traded him to Washington as part of the Juan Soto blockbuster, after which he hit .293/.366/.463. He did this amid multiple wrist injuries, which is something to keep in the back of our collective mind in the event that it becomes a chronic issue, as Wood's wrists are an integral part of keeping his swing short enough to be manageable. Hit tool cracks were more evident in 2023, as Wood struck out in 32% of his PAs and was especially flummoxed by changeups. He still managed to hit .262/.353/.520 with 62 extra-base hits. 
Because of how long-levered Wood is, it's likely he'll always strike out a lot, but he's surprisingly dangerous on the inner third of the plate for a guy of his build. He's shown flashes of covering high-and-away fastballs with power, as well as an ability to alter his posture to spoil soft stuff away from him, but he does neither of these consistently right now and those are the ways in which he's most vulnerable to whiffs. Once his wrist and forearms get stronger, he might be able to be a little shorter to the ball without sacrificing power. 
Wood is also surprisingly agile on defense. He takes a little while to get his legs churning, but once he's moving, he's a plus runner and has generated some home-to-first times in the neighborhood of 4.1-4.2 seconds. His huge strides enable him to cover a ton of ground in center field, and it's incredible that he not only has a chance to play there, but could be plus. Wood looks super smooth going into the gaps and approaching the wall. His poise and feel for center are both currently superior to Dylan Crews', but its much more typical for a compact athlete like Crews to stay up the middle for the long haul. Wood currently carries 240 pounds like a young Marcedes Lewis and is likely going to add weight commensurate with his frame as he matures, which might mean 30 pounds or more. The way that shakes out will have a significant impact on his defensive future. That said, Wood is already defying convention by looking as good as he does out there at his current size. In a lot of ways, Wood's report reads like a young Adam Dunn's, though we'd expect Wood to play better defense even if he ends up in an outfield corner. Admittedly a less stable hitter than a lot of the other elite prospects in baseball, Wood's ceiling is on another planet.","b32UDJr1jmk","sa3016870"
7,0,"Samuel Basallo","BAL","C","ST",2027,"60","High",,"19.5805555","6' 3""","230","L","R",2021,"Intl15","BAL",1300000,"Dominican Republic","Basallo was last year's ""Pick to Click"" who ""clicked"" the loudest, as the then-18 year hit .313/.402/.551, had 53 extra-base hits in 114 games and smooched Double-A in 2023. Basallo is a power-hitting kaiju catching prospect with Gary Sánchez's toolset — plus-plus power projection and arm strength, with some profound defensive flaws — except from the left side of the plate. Lackadaisically listed at 180 pounds, Basallo actually carries around closer to 230 pounds like a high school edge rusher prospect. He has preposterous bat speed and rotational athleticism for a hitter his size, let alone for a potential catcher. His peak exit velos (nearly 112 mph) and hard-hit rate (45%) are already plus on the big league scale, and this data was generated by an 18-year-old whose performance didn't dip at all after a month-long bump to High-A. He's swing happy and could stand to cover the outer edge of the plate a little better, but Basallo has the talent to be one of the best hitting catchers in baseball. 
With a full season of defensive reps under his belt, we have little better idea of what Basallo can and can't do behind the plate. His arm strength is incredible. Basallo routinely pops below 1.9 seconds, though like a lot of catchers his age, he could stand to be more accurate and consistent coming out of his crouch. His receiving is not good, but it isn't so terrible that it damns him to first base. His ball blocking might though, and it's this area of Basallo's game that most needs to improve. If this skill doesn't progress, or if Basallo's size quickly forces him to move out from behind the plate, then his issues with chase would suddenly become more of a problem, though we're probably still talking about a strong enough hit/power combo for Basallo to be an everyday first baseman. 
Basallo's chalk 40-man evaluation year is 2025. He's been promoted ahead of that pace so far, but it's pretty rare for catchers with his issues to be in the express lane to the big leagues. If the Orioles just want access to Basallo's bat and decide to fast track him as a DH, or proactively move him to first base knowing Adley Rutschman is in place as the franchise catcher for a while, then a late 2025 debut feels possible. If the Orioles want to give Basallo the best chance of having immediate success as a big league catcher, then he's more likely on a late 2026 or spring 2027 trajectory. There are few other prospects in the minors who have this kind of offensive ceiling and a chance to play a premium position.",,"sa3015716"
8,0,"Jordan Lawlar","ARI","SS","ST",2024,"60","Med",,"21.6527777","6' 1""","200","R","R",2021,"Draft","ARI",6710000,"Jesuit Prep HS","The highly touted Lawlar hit .263/.366/.474 in 89 games at Double-A Amarillo before he was quickly promoted up the rest of the ladder for a September call-up to Phoenix. The Diamondbacks only gave him about a week and a half of regular at-bats before Lawlar shifted into a pinch running and defensive replacement role down the stretch and on Arizona's playoff roster. They perhaps should have given him more runway to adjust to big league pitching with the hope that Lawlar could quickly become a more threatening hitter than Evan Longoria and Emmanuel Rivera were in October, but the Snakes was fighting for their playoff lives and didn't have the luxury to roll the dice. 
Lawlar posted career-best strikeout rates at Double- and Triple-A in 2023, but he still has a pretty grooved swing and his underlying contact data on the season is near the very bottom of the everyday shortstop population (73% contact rate, 81% z-contact%), so we're sticking to a below-average hit tool projection here. But Lawlar does everything else very well. He's a stellar shortstop defender with premium range and defensive athleticism. His throwing stroke to first base can sometimes look a little odd, but he finds all kinds of crazy ways to contort his body and send the baseball where it needs to go, which is especially true of his feeds to second base. He has rare power for a shortstop (let alone a really good defensive one), plus plate discipline, and what is approaching elite baserunning speed. Not only did Lawlar show top-of-the-scale sprint speed in the big leagues (not our favorite way of assessing runners, but still), but his swing's natural jailbreak, à la Rickie Weeks Jr., puts his home-to-first times in the 4.10 second range pretty regularly. His hit tool isn't enough of an issue to threaten the rest of his profile — Dansby Swanson's contact rates in 2023 were nearly identical to Lawlar's combined stats, but he plays great defense and hits for power, and Lawlar should too. 
With Eugenio Suárez now slated to play third base, a key spring development to monitor will be how the Diamondbacks integrate Lawlar into their lineup. Ketel Marte is not a good defensive second baseman and should DH a lot so Geraldo Perdomo can start at the keystone. Perdomo has more experience playing a variety of positions than Lawlar does, and odds are he will open the year as a sort of superutility type while Lawlar gets most of the starts at short. There may be a prolonged initial adjustment to big league pitching, but Lawlar is going to be a power-hitting star and another young, build-around guy who can help sustain Arizona's status as an NL contender.","2OR5zWimpHc","29976"
9,0,"Dylan Crews","WSN","CF","ST",2025,"60","Med",,"22.0444444","6' 0""","203","R","R",2023,"Draft","WSN",9000000,"LSU","Crews went wire-to-wire as one of the best 2023 draft prospects, if not <em>the</em> best. He was the top unsigned high schooler from the 2020 class, a toolshed who swung and missed on the summer showcase circuit more than teams felt comfortable with and ended up at LSU rather than in pro ball. He was immediately dominant as a freshman there, generating exit velos in excess of 100 mph on 17 of his first 30 balls in play and finishing with a .362/.453/.663 line that included 18 bombs. He followed that up by slashing .349/.463/.691 with 22 homers as a sophomore, before hitting .420/.567/.710 with 15 bombs and more walks than strikeouts as a junior. 
Crews can punish you to all fields. He'll get extended on fastballs away from him and crush them the opposite way, or he can turn on slower pitches on the middle two-thirds of the plate and hit some titanic blasts to left. At times, the depth of Crews' hand load will leave him late on fastballs. The bend and strength in his lower body is incredible, and he might be able to shorten up what he's doing with his hands and still get to huge power because of how special the rest of his operation is. He'll show you jailbreak-y, sub-4.1 run times, easily the speed to play center field, and his reads and routes (though still not great on balls hit in front of him) improved during his time in college after it first looked like he might be ticketed for right field. He sprints into the gaps with huge effort and is great at getting balls hit over his head. He should be an average big league center fielder, and his speed gives him bigger ceiling than that if his feel for the position continues to level up. Crews also does all kinds of little things well, be it procedural awareness on defense or how crisply he runs the bases. He's tooled up and has performed at the highest level of amateur baseball for three years, a layup top-two pick in basically any draft and likely a quick-moving, impact player in pro ball.","yuOejbqs8OA","sa3022882"
10,0,"Paul Skenes","PIT","SP","ST",2024,"60","Med",,"21.7861111","6' 6""","235","R","R",2023,"Draft","PIT",9200000,"LSU","Skenes spent two seasons as a two-way player at Air Force before heading to LSU for a breakout campaign that saw him commit to pitching full-time. Changes to his delivery and physicality helped create a significant velo bump into the high-90s, as Skenes also made meaningful improvements to his arsenal of secondaries. The leap was so great that, in a fantastic draft class, nobody blinked that a pitcher went first overall. Skenes struck out 45% of the hitters he faced as LSU’s Friday starter, relying heavily on that fearsome upper-90s four-seamer (66% usage), which he consistently blew by his SEC opposition. While the heater was his pitch of choice during his final college season, he also made adjustments to his slider, which had previously been a north-south offering used largely for in-zone swing-and-miss. At LSU, his slider also added velocity and more horizontal sweep to make it a more effective out-of-zone weapon.
Skenes went on a tour of Pittsburgh's affiliates after the draft and threw a grand total of 6.2 innings in five starts. His changeup usage was elevated during that span, which is something to watch for in 2024. Skenes' low slot delivery creates a shallow angle on his fastball, but its tailing shape isn't great for missing bats. He throws so hard that it probably won't matter all that much, but most of Skenes' fastball swings-and-misses come to the arm-side part of the plate, rather than across the top of the zone like most modern power pitchers. It will probably be important for his changeup to develop to give him a pitch that plays off his fastball movement. On the sheer force of nature that his fastball and slider are, Skenes is ready to compete at the big league level even though he'll need to round out his repertoire to hit his front-end ceiling.",,"sa3023079"
